State,Cluster,LocationLat,LocationLng,Count
AL,0,31.17035,-86.38325,2
AL,2,33.902,-87.314,1
AL,3,32.84448181818182,-86.68823333333333,33
AR,0,35.596775,-93.01570000000001,4
AR,2,35.5946,-92.4455,1
AR,3,35.18030666666667,-92.52105333333334,30
AZ,0,33.822494285714285,-111.67361142857142,35
CA,0,35.80012272727273,-119.25101590909092,88
CA,1,39.1092,-120.06790000000001,2
CA,2,36.422117647058826,-120.10646470588235,34
CA,3,38.8904,-122.01798000000001,10
CO,0,39.14976829268293,-105.27173414634146,41
CO,1,39.09867777777778,-106.25901666666667,18
CT,3,41.49132,-72.75287,10
DE,3,39.16453333333333,-75.47803333333333,3
FL,0,27.999246153846155,-81.70609230769232,26
FL,3,28.698066666666666,-82.77389,60
GA,0,32.36338181818182,-83.36742727272727,11
GA,2,31.736449999999998,-82.29705,2
GA,3,32.868035185185185,-83.51015925925925,54
IA,0,41.81137619047619,-93.6080357142857,42
IA,1,42.41148333333333,-93.28951666666667,12
IA,3,41.46235,-92.19048333333335,6
ID,0,44.08556363636364,-115.35926363636364,11
ID,1,44.19955833333333,-113.36964166666667,12
ID,3,45.739733333333334,-115.78133333333334,3
IL,0,41.1116,-90.29546666666666,3
IL,1,41.92838,-88.63048,5
IL,3,39.79363,-88.859252,50
IN,0,40.93803333333333,-85.88233333333334,3
IN,1,41.44668,-86.38624,5
IN,2,40.4899,-85.6797,1
IN,3,40.150929166666664,-86.34327083333334,24
KS,0,38.395875,-98.21321428571427,28
KS,3,37.790225,-95.6121125,8
KY,0,36.981075,-86.162075,4
KY,3,37.550613636363636,-85.57045454545454,22
LA,0,29.7175125,-90.4773,8
LA,3,30.921191891891894,-92.11758378378377,37
MA,0,42.1552,-70.89320000000001,2
MA,1,42.4269,-73.289,1
MA,2,41.253,-70.061,1
MA,3,42.14257894736842,-71.2725052631579,19
MD,0,39.034975,-77.0766375,8
MD,3,38.968675000000005,-76.47679375,16
ME,0,45.4646,-69.5538,1
ME,1,45.6286125,-68.9278375,8
ME,3,44.08585,-69.63662500000001,8
MI,0,45.9669,-85.77296666666666,3
MI,1,43.92112121212121,-84.99780303030302,66
MI,3,42.03752,-83.54094,5
MN,0,45.47364,-93.50251,10
MN,1,45.79330470588235,-94.27798352941177,85
MN,3,45.3956,-93.7313,2
MO,0,39.12489166666666,-92.78520833333333,12
MO,3,37.93949047619047,-92.63147619047619,21
MS,0,33.280875,-90.40922499999999,4
MS,2,32.3033,-90.4085,1
MS,3,32.691608333333335,-89.4008,24
MT,0,46.6794875,-109.877475,8
MT,1,46.90421,-110.17635499999999,20
NC,0,35.363925,-78.50855,4
NC,3,35.50749852941176,-79.06151323529411,68
ND,0,47.53574375,-100.03605,16
ND,1,47.54945263157895,-100.05137368421053,19
ND,2,47.25975,-100.02495,2
NE,0,41.25120606060606,-98.89671515151515,33
NE,1,41.88145,-101.83785,2
NE,3,41.26025,-96.0089,4
NH,1,44.239466666666665,-71.49470000000001,3
NH,3,43.130722222222225,-71.57736666666666,9
NJ,0,41.0093,-74.7363,1
NJ,3,40.24155625,-74.50195,16
NM,0,34.226325714285714,-105.9157857142857,35
NM,1,36.662949999999995,-105.9368,2
NV,0,38.66683181818182,-116.5688590909091,22
NY,0,42.237500000000004,-73.21320000000001,3
NY,1,42.91785789473684,-76.90105789473685,19
NY,3,41.75215555555556,-73.96132777777778,18
OH,0,40.602000000000004,-82.80623333333334,3
OH,1,41.325625,-81.5664375,8
OH,3,40.242870967741936,-83.33329677419354,31
OK,0,35.42992926829268,-97.62146829268292,41
OK,3,35.5508,-95.937525,12
OR,0,43.72473333333333,-119.48498888888889,9
OR,1,44.957350000000005,-118.69595000000001,2
OR,2,42.6,-123.3656,1
OR,3,44.77896190476191,-122.82703333333332,21
PA,0,40.235175,-76.796125,4
PA,1,41.07455,-79.56982,10
PA,3,40.449852,-76.883368,25
RI,3,41.54886666666667,-71.50026666666666,6
SC,0,34.12793333333334,-80.78736666666667,3
SC,2,32.98056666666667,-79.91986666666666,3
SC,3,33.991234210526315,-80.8169894736842,38
SD,0,44.72835,-100.2766125,8
SD,1,44.19295,-100.436975,16
TN,0,35.563975,-86.65559999999999,8
TN,3,35.92256666666667,-86.00091666666667,12
TX,0,31.29254126984127,-98.8788880952381,126
TX,2,29.191850000000002,-97.29332500000001,4
TX,3,30.765708333333333,-96.09434375000001,48
UT,0,39.348034999999996,-111.53562,20
UT,1,41.4488,-111.9071,2
VA,0,37.034475,-77.254675,4
VA,3,37.57882040816327,-78.15230204081634,49
VT,0,44.4201,-72.0193,1
VT,1,44.4488,-72.66094285714286,7
VT,3,43.40703333333334,-72.95513333333334,3
WA,0,47.2893,-119.76799090909093,11
WA,1,47.73513333333333,-117.5349,3
WA,2,46.92916666666667,-121.55866666666667,3
WA,3,47.431000000000004,-122.390056,25
WI,0,43.6200125,-89.8113,8
WI,1,44.61589,-89.81698200000001,50
WI,2,43.1561,-90.6775,1
WI,3,43.42026666666666,-89.6574,6
WV,0,39.6182,-78.7598,1
WV,1,39.001,-80.2712,1
WV,3,38.70921333333333,-80.69301999999999,15
WY,0,42.75176842105263,-107.21398421052632,19
WY,1,42.674231428571424,-107.51722285714285,35
